title,price,image_urls,discount,images
Ikall </br>Smartphones,"₹6,989",https://cdn.shopclues.com/images1/thumbnails/113040/280/1/151938797-113040784-1611993235.jpg,17% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113040/280/1/151938797-113040784-1611993235.jpg', 'path': 'full/7495f811741b3dd09f29d4ba381320dda61461b4.jpg', 'checksum': '68df1c686de3231df3684ed43e05065c', 'status': 'downloaded'}]"
Tecno Spark Go 2021 Assorted Colour 2 GB ROM 32 GB RAM 5000 mAh Battery 6.52 inch Display,"₹8,600",https://cdn.shopclues.com/images1/thumbnails/113546/280/1/152136968-113546662-1617177292.jpg,13% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113546/280/1/152136968-113546662-1617177292.jpg', 'path': 'full/95d2792c9c2b9d8369a4d6c3a85a15744c249ef1.jpg', 'checksum': '786b1d2c8cadc884c594351863cf33ee', 'status': 'downloaded'}]"
Redmi 9A 2GB 32GB (Nature Green),"₹13,499                                             ",https://cdn.shopclues.com/images1/thumbnails/114525/280/1/152441477-114525510-1625043802.jpg,9% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/114525/280/1/152441477-114525510-1625043802.jpg', 'path': 'full/728f570c402af781a869cdd3d505551b69e27d5a.jpg', 'checksum': 'a5f4ab599fee82009e66edf3ebe014f6', 'status': 'downloaded'}]"
"OPPO A54 (4 GB RAM, 64 GB ROM)","₹7,400                                             ",https://cdn.shopclues.com/images1/thumbnails/114531/280/1/152444812-114531915-1625125541.jpg,13% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/114531/280/1/152444812-114531915-1625125541.jpg', 'path': 'full/cd61dc584e37fd393ef76e7b25d406b0497b98ed.jpg', 'checksum': '4c6b9725e373607b518125111e661f0f', 'status': 'downloaded'}]"
Redmi 9 Power 64 GB 4 GB RAM (Mighty Black),"₹12,099                                             ",https://cdn.shopclues.com/images1/thumbnails/115084/280/1/152645346-115084893-1630060200.jpg,17% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/115084/280/1/152645346-115084893-1630060200.jpg', 'path': 'full/3562a52699cad8f24d633ca18a3088f02d1ff277.jpg', 'checksum': '9f2760cc12a6c5e4c7424bc0a4af1c0e', 'status': 'downloaded'}]"
Jivi 4G Smartphones</br>Starting @ Rs 699*,"₹8,669",https://cdn.shopclues.com/images1/thumbnails/113794/280/1/152213252-113794193-1619002101.jpg,9% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113794/280/1/152213252-113794193-1619002101.jpg', 'path': 'full/c4713d14c7e21ab6428415303f5bcc7ba48cc382.jpg', 'checksum': 'b53d8900323b8a37195a3d85be17176f', 'status': 'downloaded'}]"
"YU EUREKA NOTE MOBILE YU6000 3 GB 15 GB  (Black, 16 GB)  (3 GB RAM)","₹8,399",https://cdn.shopclues.com/images1/thumbnails/113508/280/1/152122375-113508229-1616752923.jpg,13% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113508/280/1/152122375-113508229-1616752923.jpg', 'path': 'full/2bd2d9e157638177fbb0492b6af9f32a68659d6c.jpg', 'checksum': 'a813ab31853b2323b5680b3c502c8f54', 'status': 'downloaded'}]"
Mobiistar </br>Starting @ Rs 4329,"₹7,469                                             ",https://cdn.shopclues.com/images1/thumbnails/111755/280/1/151312185-111755373-1627910017.jpg,14% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/111755/280/1/151312185-111755373-1627910017.jpg', 'path': 'full/41162356159eb2fe202dd5cf494009df19bfaacd.jpg', 'checksum': '11a19e22fa343aa4e56c28ecb100c7e0', 'status': 'downloaded'}]"
High Performance</br>Phones,"₹7,199                                             ",https://cdn.shopclues.com/images1/thumbnails/114939/280/1/152600299-114939577-1628503169.jpg,17% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/114939/280/1/152600299-114939577-1628503169.jpg', 'path': 'full/bd73852478478768093e523f87246b8bdc85fc81.jpg', 'checksum': 'e02c7e8a0b0e28ad35e489308f0599d0', 'status': 'downloaded'}]"
"Realme C25s (4 GB RAM, 128 GB ROM)","₹13,100",https://cdn.shopclues.com/images1/thumbnails/112501/280/1/151692629-112501759-1608384980.jpg,14% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/112501/280/1/151692629-112501759-1608384980.jpg', 'path': 'full/dd772000da4ea237a6bd9eb1b7e958401a8b5792.jpg', 'checksum': '4c38e40e3ebc707d17f5053201cdd3ce', 'status': 'downloaded'}]"
